Date,Close
06 02 2018,948.4000244
07 02 2018,936.4000244
08 02 2018,940.4749756
09 02 2018,924.75
12 02 2018,938.3250122
14 02 2018,941.5750122
15 02 2018,940.9500122
16 02 2018,939.2999878
19 02 2018,939.0999756
20 02 2018,931.5999756
21 02 2018,928.7000122
22 02 2018,926.5999756
23 02 2018,940.2750244
26 02 2018,955.7750244
27 02 2018,951.2750244
28 02 2018,942.0999756
01 03 2018,937.1749878
05 03 2018,934.9749756
06 03 2018,923.125
07 03 2018,916.2999878
08 03 2018,926.4249878
09 03 2018,925.5250244
12 03 2018,933.625
13 03 2018,930.125
14 03 2018,932.25
15 03 2018,940.4000244
16 03 2018,926.5
19 03 2018,923.625
20 03 2018,919.75
21 03 2018,929.4500122
22 03 2018,933.875
23 03 2018,920.7750244
26 03 2018,946.7249756
27 03 2018,946.2999878
28 03 2018,943.0499878
02 04 2018,965.5999756
03 04 2018,957.9500122
04 04 2018,941.625
05 04 2018,954.4500122
06 04 2018,961.7000122
09 04 2018,969.5250244
10 04 2018,960.4249878
11 04 2018,959.4249878
12 04 2018,964.4000244
13 04 2018,962.5
16 04 2018,971.0499878
17 04 2018,974.25
18 04 2018,966.2999878
19 04 2018,969.5
20 04 2018,977.9500122
23 04 2018,967.875
24 04 2018,967.5
25 04 2018,960.375
26 04 2018,965.125
27 04 2018,961.7000122
30 04 2018,972.1500244
02 05 2018,984.75
03 05 2018,983.9500122
04 05 2018,994.25
07 05 2018,988.7000122
08 05 2018,983.5250244
09 05 2018,989.2000122
10 05 2018,996.3499756
11 05 2018,1005.875
14 05 2018,1010.875
15 05 2018,1018.900024
16 05 2018,1011.674988
17 05 2018,1013.875
18 05 2018,1006.075012
21 05 2018,996.5250244
22 05 2018,994.9500122
23 05 2018,983.75
24 05 2018,993
25 05 2018,1004.349976
28 05 2018,1021.099976
29 05 2018,1016.299988
30 05 2018,1024.175049
31 05 2018,1069.724976
01 06 2018,1055.300049
04 06 2018,1023.099976
05 06 2018,1031.800049
06 06 2018,1028.675049
07 06 2018,1031.099976
08 06 2018,1024.675049
11 06 2018,1021.150024
12 06 2018,1021.924988
13 06 2018,1015.724976
14 06 2018,1018.700012
15 06 2018,1014.799988
18 06 2018,1009.575012
19 06 2018,1011.75
20 06 2018,1028.074951
21 06 2018,1028.800049
22 06 2018,1041.675049
25 06 2018,1047.474976
26 06 2018,1046.849976
27 06 2018,1056.300049
28 06 2018,1065.425049
29 06 2018,1054.224976
02 07 2018,1036.625
03 07 2018,1035.099976
04 07 2018,1051.775024
05 07 2018,1061.875
06 07 2018,1057.574951
09 07 2018,1062.824951
10 07 2018,1073.199951
11 07 2018,1074.125
12 07 2018,1082.974976
13 07 2018,1090.449951
16 07 2018,1084.425049
17 07 2018,1088.375
18 07 2018,1088.099976
19 07 2018,1093.050049
20 07 2018,1094.525024
23 07 2018,1078.224976
24 07 2018,1079.875
25 07 2018,1085.175049
26 07 2018,1096.300049
27 07 2018,1101.074951
30 07 2018,1084.949951
31 07 2018,1089.75
01 08 2018,1079.349976
02 08 2018,1065.099976
03 08 2018,1060.824951
06 08 2018,1057.150024
07 08 2018,1065.449951
08 08 2018,1068.175049
09 08 2018,1059.25
10 08 2018,1057.224976
13 08 2018,1045.824951
14 08 2018,1044.550049
16 08 2018,1037.849976
17 08 2018,1038.675049
20 08 2018,1048.099976
21 08 2018,1048.025024
23 08 2018,1039.949951
24 08 2018,1034.925049
27 08 2018,1040.224976
28 08 2018,1047.425049
29 08 2018,1039.25
30 08 2018,1033.050049
31 08 2018,1030.599976
03 09 2018,1037.525024
04 09 2018,1025.900024
05 09 2018,1022.924988
06 09 2018,1026.099976
07 09 2018,1028.474976
10 09 2018,1020.575012
11 09 2018,1000.200012
12 09 2018,1005.924988
14 09 2018,1014.799988
17 09 2018,996.0999756
18 09 2018,994.5999756
19 09 2018,980.6749878
21 09 2018,985.125
24 09 2018,962.8499756
25 09 2018,976.2000122
26 09 2018,984.0999756
27 09 2018,988.0750122
28 09 2018,1003.025024
01 10 2018,1017.724976
03 10 2018,1015.575012
04 10 2018,978.875
05 10 2018,982.6500244
08 10 2018,972.5
09 10 2018,970.2999878
10 10 2018,983.5750122
11 10 2018,968.7750244
12 10 2018,990.9249878
15 10 2018,1004.025024
16 10 2018,996.375
17 10 2018,987.2999878
19 10 2018,983.875
22 10 2018,999.4500122
23 10 2018,992.4249878
24 10 2018,996.125
25 10 2018,984.4000244
26 10 2018,980.5999756
29 10 2018,963.1500244
30 10 2018,956.375
31 10 2018,955.875
01 11 2018,956.0999756
02 11 2018,974.7249756
05 11 2018,978
06 11 2018,973.2750244
07 11 2018,978.9749756
09 11 2018,972.7000122
12 11 2018,960.5250244
